Date,Artist,Song Name,Korean Name,Director,Video,Type,Release,video_seconds,real_id,viewCount,likeCount,commentCount
2018-02-04,100%,Song For You,송포유,,https://youtu.be/AnC0bwBumj8,Boy,Japanese,227,AnC0bwBumj8,181707,6273,443
2018-02-03,BLACKSIX,Alone,쓸쓸해,,https://youtu.be/L_CZzj1hP50,Boy,Minor,207,L_CZzj1hP50,22008,3608,361
2018-02-02,Henry,Monster,몬스터,,https://youtu.be/dfeEwt5_jsQ,Boy,English,213,dfeEwt5_jsQ,5440260,325988,12545
2018-02-01,Davichi,Just The Two Of Us,우리 둘,,https://youtu.be/YIcIXJIqFHw,Girl,Major,357,YIcIXJIqFHw,668961,11974,357
2018-02-01,gugudan,The Boots,더 부츠,Purple Straw Film,https://youtu.be/y3KSD5sI0OM,Girl,Major,226,y3KSD5sI0OM,9775860,211974,15307
2018-02-01,2000won,SSUL,썰,,https://youtu.be/88iRnH2K1z4,Boy,Major,201,88iRnH2K1z4,10796,353,21
2018-01-31,Super Junior-D&E,If You,,,https://youtu.be/ryxWUHZDJwI,Boy,Japanese,322,ryxWUHZDJwI,258229,10832,861
2018-01-31,14U,Don't Be Pretty,예뻐지지마,,https://youtu.be/HSPGFCv4BTA,Boy,Major,207,gSzrIA_XKZA,397439,13164,913
2018-01-31,BoA,Nega Dola,내가 돌아,,https://youtu.be/pykyNOEVqCU,Girl Solo,Major,188,pykyNOEVqCU,6342973,162171,5245
2018-01-31,Soya,Show,쇼,,https://youtu.be/YSdYK6yGEWg,Girl Solo,Major,197,YSdYK6yGEWg,637882,7359,368
2018-01-29,Suzy,Holiday feat. DPR LIVE,홀리데이,VISUALSFROM.,https://youtu.be/lpzJNwur6Zk,Girl Solo,Major,256,lpzJNwur6Zk,8453562,191892,9581
2018-01-29,Risso,Alergy,알러지,,https://youtu.be/8gaxwpzrf6M,Girl Solo,Minor,193,8gaxwpzrf6M,16499,627,43
2018-01-29,LOONA,One&Only (GoWon),원 앤 온리,,https://youtu.be/m5qwcYL8a0o,Girl,Major,190,m5qwcYL8a0o,7664487,193045,16409
2018-01-29,DEAN,instagram,인스타그램,,https://youtu.be/wKyMIrBClYw,Boy Solo,Major,279,wKyMIrBClYw,81379626,1131421,30127
2018-01-29,Golden Child,It's You,너라고,,https://youtu.be/fq56d1YiLFE,Boy,Major,188,fq56d1YiLFE,1630779,78914,6697
2018-01-29,Red Velvet,Bad Boy,배드보이,Flexible Pictures,https://youtu.be/J_CFBjAyPWE,Girl,Major,221,J_CFBjAyPWE,373893341,4066012,318871
